ÅR,Måned,Dato,Måler,Parti,Oppslutning
1964,Okt,1964-10-15,TNS Gallup AS,KrF,9.4
1964,Okt,1964-10-15,TNS Gallup AS,NKP,0.9
1964,Okt,1964-10-15,TNS Gallup AS,SF,3.9
1964,Okt,1964-10-15,TNS Gallup AS,Sp,10.4
1964,Okt,1964-10-15,TNS Gallup AS,V,11.0
1964,Sep,1964-09-15,TNS Gallup AS,Ap,50.3
1964,Sep,1964-09-15,TNS Gallup AS,H,21.2
1964,Sep,1964-09-15,TNS Gallup AS,KrF,8.8
1964,Sep,1964-09-15,TNS Gallup AS,NKP,1.2
1964,Sep,1964-09-15,TNS Gallup AS,SF,2.8
1964,Sep,1964-09-15,TNS Gallup AS,Sp,7.6
1964,Sep,1964-09-15,TNS Gallup AS,V,8.1
1965,Apr,1965-04-15,TNS Gallup AS,Ap,48.8
1965,Apr,1965-04-15,TNS Gallup AS,H,19.0
1965,Apr,1965-04-15,TNS Gallup AS,KrF,7.0
1965,Apr,1965-04-15,TNS Gallup AS,NKP,1.1
1965,Apr,1965-04-15,TNS Gallup AS,SF,4.1
1965,Apr,1965-04-15,TNS Gallup AS,Sp,10.6
1965,Apr,1965-04-15,TNS Gallup AS,V,9.4
1965,Aug,1965-08-15,TNS Gallup AS,Ap,48.1
1965,Aug,1965-08-15,TNS Gallup AS,H,20.8
1965,Aug,1965-08-15,TNS Gallup AS,KrF,7.9
1965,Aug,1965-08-15,TNS Gallup AS,NKP,0.4
1965,Aug,1965-08-15,TNS Gallup AS,SF,4.0
1965,Aug,1965-08-15,TNS Gallup AS,Sp,9.4
1965,Aug,1965-08-15,TNS Gallup AS,V,9.4
1965,Des,1965-12-15,TNS Gallup AS,Ap,46.7
1965,Des,1965-12-15,TNS Gallup AS,H,19.3
1965,Des,1965-12-15,TNS Gallup AS,KrF,7.8
1965,Des,1965-12-15,TNS Gallup AS,NKP,0.4
1965,Des,1965-12-15,TNS Gallup AS,SF,5.4
1965,Des,1965-12-15,TNS Gallup AS,Sp,8.7
1965,Des,1965-12-15,TNS Gallup AS,V,11.6
1965,Feb,1965-02-15,TNS Gallup AS,Ap,48.5
1965,Feb,1965-02-15,TNS Gallup AS,H,19.6
1965,Feb,1965-02-15,TNS Gallup AS,KrF,8.0
1965,Feb,1965-02-15,TNS Gallup AS,NKP,0.6
1965,Feb,1965-02-15,TNS Gallup AS,SF,4.0
1965,Feb,1965-02-15,TNS Gallup AS,Sp,8.8
1965,Feb,1965-02-15,TNS Gallup AS,V,10.6
1965,Jan,1965-01-15,TNS Gallup AS,Ap,46.2
1965,Jan,1965-01-15,TNS Gallup AS,H,22.2
1965,Jan,1965-01-15,TNS Gallup AS,KrF,8.6
1965,Jan,1965-01-15,TNS Gallup AS,NKP,0.7
1965,Jan,1965-01-15,TNS Gallup AS,SF,4.3
1965,Jan,1965-01-15,TNS Gallup AS,Sp,8.3
1965,Jan,1965-01-15,TNS Gallup AS,V,9.6
1965,Jul,1965-07-15,TNS Gallup AS,Ap,53.5
1965,Jul,1965-07-15,TNS Gallup AS,H,18.3
1965,Jul,1965-07-15,TNS Gallup AS,KrF,8.9
1965,Jul,1965-07-15,TNS Gallup AS,NKP,0.3
1965,Jul,1965-07-15,TNS Gallup AS,SF,4.0
1965,Jul,1965-07-15,TNS Gallup AS,Sp,7.9
1965,Jul,1965-07-15,TNS Gallup AS,V,7.1
1965,Jun,1965-06-15,TNS Gallup AS,Ap,53.0
1965,Jun,1965-06-15,TNS Gallup AS,H,19.2
1965,Jun,1965-06-15,TNS Gallup AS,KrF,8.4
1965,Jun,1965-06-15,TNS Gallup AS,NKP,0.4
1965,Jun,1965-06-15,TNS Gallup AS,SF,3.4
1965,Jun,1965-06-15,TNS Gallup AS,Sp,8.2
1965,Jun,1965-06-15,TNS Gallup AS,V,7.5
1965,Mai,1965-05-15,TNS Gallup AS,Ap,50.9
1965,Mai,1965-05-15,TNS Gallup AS,H,19.4
1965,Mai,1965-05-15,TNS Gallup AS,KrF,7.4
1965,Mai,1965-05-15,TNS Gallup AS,NKP,1.1
1965,Mai,1965-05-15,TNS Gallup AS,SF,3.0
1965,Mai,1965-05-15,TNS Gallup AS,Sp,10.1
1965,Mai,1965-05-15,TNS Gallup AS,V,8.1
1965,Mar,1965-03-15,TNS Gallup AS,Ap,46.3
1965,Mar,1965-03-15,TNS Gallup AS,H,21.5
1965,Mar,1965-03-15,TNS Gallup AS,KrF,7.9
1965,Mar,1965-03-15,TNS Gallup AS,NKP,1.0
1965,Mar,1965-03-15,TNS Gallup AS,SF,4.7
1965,Mar,1965-03-15,TNS Gallup AS,Sp,9.1
1965,Mar,1965-03-15,TNS Gallup AS,V,9.5
1965,Nov,1965-11-15,TNS Gallup AS,Ap,48.7
1965,Nov,1965-11-15,TNS Gallup AS,H,18.6
1965,Nov,1965-11-15,TNS Gallup AS,KrF,6.9
1965,Nov,1965-11-15,TNS Gallup AS,NKP,0.5
1965,Nov,1965-11-15,TNS Gallup AS,SF,4.9
1965,Nov,1965-11-15,TNS Gallup AS,Sp,9.7
1965,Nov,1965-11-15,TNS Gallup AS,V,10.7
1965,Okt,1965-10-15,TNS Gallup AS,Ap,47.2
1965,Okt,1965-10-15,TNS Gallup AS,H,19.8
1965,Okt,1965-10-15,TNS Gallup AS,KrF,6.3
1965,Okt,1965-10-15,TNS Gallup AS,NKP,0.4
1965,Okt,1965-10-15,TNS Gallup AS,SF,6.1
1965,Okt,1965-10-15,TNS Gallup AS,Sp,9.0
1965,Okt,1965-10-15,TNS Gallup AS,V,11.1
1965,Sep,1965-09-15,TNS Gallup AS,Ap,47.2
1965,Sep,1965-09-15,TNS Gallup AS,H,20.2
1965,Sep,1965-09-15,TNS Gallup AS,KrF,7.2
1965,Sep,1965-09-15,TNS Gallup AS,NKP,0.6
1965,Sep,1965-09-15,TNS Gallup AS,SF,6.1
1965,Sep,1965-09-15,TNS Gallup AS,Sp,7.7
1965,Sep,1965-09-15,TNS Gallup AS,V,11.0
1966,Apr,1966-04-15,TNS Gallup AS,Ap,49.7
1966,Apr,1966-04-15,TNS Gallup AS,H,18.3
1966,Apr,1966-04-15,TNS Gallup AS,KrF,5.9
1966,Apr,1966-04-15,TNS Gallup AS,NKP,0.4
1966,Apr,1966-04-15,TNS Gallup AS,SF,5.3
1966,Apr,1966-04-15,TNS Gallup AS,Sp,9.8
1966,Apr,1966-04-15,TNS Gallup AS,V,10.6
1966,Aug,1966-08-15,TNS Gallup AS,Ap,46.8
1966,Aug,1966-08-15,TNS Gallup AS,H,21.2
1966,Aug,1966-08-15,TNS Gallup AS,KrF,6.4
1966,Aug,1966-08-15,TNS Gallup AS,NKP,0.6
1966,Aug,1966-08-15,TNS Gallup AS,SF,4.0
1966,Aug,1966-08-15,TNS Gallup AS,Sp,11.8
1966,Aug,1966-08-15,TNS Gallup AS,V,9.2
1966,Des,1966-12-15,TNS Gallup AS,Ap,46.4
1966,Des,1966-12-15,TNS Gallup AS,H,19.3
1966,Des,1966-12-15,TNS Gallup AS,KrF,7.3
1966,Des,1966-12-15,TNS Gallup AS,NKP,0.2
1966,Des,1966-12-15,TNS Gallup AS,SF,6.7
1966,Des,1966-12-15,TNS Gallup AS,Sp,9.4
1966,Des,1966-12-15,TNS Gallup AS,V,10.7
1966,Feb,1966-02-15,TNS Gallup AS,Ap,50.7
1966,Feb,1966-02-15,TNS Gallup AS,H,18.4
1966,Feb,1966-02-15,TNS Gallup AS,KrF,6.9
1966,Feb,1966-02-15,TNS Gallup AS,NKP,0.6
1966,Feb,1966-02-15,TNS Gallup AS,SF,4.9
1966,Feb,1966-02-15,TNS Gallup AS,Sp,9.2
1966,Feb,1966-02-15,TNS Gallup AS,V,9.2
1966,Jan,1966-01-15,TNS Gallup AS,Ap,46.4
1966,Jan,1966-01-15,TNS Gallup AS,H,19.8
1966,Jan,1966-01-15,TNS Gallup AS,KrF,7.0
1966,Jan,1966-01-15,TNS Gallup AS,NKP,0.4
1966,Jan,1966-01-15,TNS Gallup AS,SF,6.2
1966,Jan,1966-01-15,TNS Gallup AS,Sp,10.2
1966,Jan,1966-01-15,TNS Gallup AS,V,10.0
1966,Jul,1966-07-15,TNS Gallup AS,Ap,49.6
1966,Jul,1966-07-15,TNS Gallup AS,H,20.2
1966,Jul,1966-07-15,TNS Gallup AS,KrF,6.9
1966,Jul,1966-07-15,TNS Gallup AS,NKP,0.8
1966,Jul,1966-07-15,TNS Gallup AS,SF,4.2
1966,Jul,1966-07-15,TNS Gallup AS,Sp,8.8
1966,Jul,1966-07-15,TNS Gallup AS,V,9.5
1966,Mai,1966-05-15,TNS Gallup AS,Ap,50.5
1966,Mai,1966-05-15,TNS Gallup AS,H,18.5
1966,Mai,1966-05-15,TNS Gallup AS,KrF,6.1
1966,Mai,1966-05-15,TNS Gallup AS,NKP,0.9
1966,Mai,1966-05-15,TNS Gallup AS,SF,5.1
1966,Mai,1966-05-15,TNS Gallup AS,Sp,8.5
1966,Mai,1966-05-15,TNS Gallup AS,V,10.4
1966,Nov,1966-11-15,TNS Gallup AS,Ap,49.8
1966,Nov,1966-11-15,TNS Gallup AS,H,17.9
1966,Nov,1966-11-15,TNS Gallup AS,KrF,7.6
1966,Nov,1966-11-15,TNS Gallup AS,NKP,0.7
1966,Nov,1966-11-15,TNS Gallup AS,SF,5.5
1966,Nov,1966-11-15,TNS Gallup AS,Sp,8.7
1966,Nov,1966-11-15,TNS Gallup AS,V,9.8
1966,Okt,1966-10-15,TNS Gallup AS,Ap,50.5
1966,Okt,1966-10-15,TNS Gallup AS,H,17.2
1966,Okt,1966-10-15,TNS Gallup AS,KrF,6.5
1966,Okt,1966-10-15,TNS Gallup AS,NKP,0.8
1966,Okt,1966-10-15,TNS Gallup AS,SF,4.3
1966,Okt,1966-10-15,TNS Gallup AS,Sp,10.5
1966,Okt,1966-10-15,TNS Gallup AS,V,10.1
1966,Sep,1966-09-15,TNS Gallup AS,Ap,46.0
1966,Sep,1966-09-15,TNS Gallup AS,H,18.7
1966,Sep,1966-09-15,TNS Gallup AS,KrF,6.3
1966,Sep,1966-09-15,TNS Gallup AS,NKP,0.5
1966,Sep,1966-09-15,TNS Gallup AS,SF,5.8
1966,Sep,1966-09-15,TNS Gallup AS,Sp,10.4
1966,Sep,1966-09-15,TNS Gallup AS,V,12.3
1967,Apr,1967-04-15,TNS Gallup AS,Ap,51.6
1967,Apr,1967-04-15,TNS Gallup AS,H,19.8
1967,Apr,1967-04-15,TNS Gallup AS,KrF,5.1
1967,Apr,1967-04-15,TNS Gallup AS,NKP,0.6
1967,Apr,1967-04-15,TNS Gallup AS,SF,4.2
1967,Apr,1967-04-15,TNS Gallup AS,Sp,8.5
1967,Apr,1967-04-15,TNS Gallup AS,V,10.1
1967,Aug,1967-08-15,TNS Gallup AS,Ap,51.3
1967,Aug,1967-08-15,TNS Gallup AS,H,17.2
1967,Aug,1967-08-15,TNS Gallup AS,KrF,6.5
1967,Aug,1967-08-15,TNS Gallup AS,NKP,0.6
1967,Aug,1967-08-15,TNS Gallup AS,SF,6.0
1967,Aug,1967-08-15,TNS Gallup AS,Sp,8.7
1967,Aug,1967-08-15,TNS Gallup AS,V,9.7
1967,Des,1967-12-15,TNS Gallup AS,Ap,48.3
1967,Des,1967-12-15,TNS Gallup AS,H,18.8
1967,Des,1967-12-15,TNS Gallup AS,KrF,6.4
1967,Des,1967-12-15,TNS Gallup AS,NKP,1.3
1967,Des,1967-12-15,TNS Gallup AS,SF,5.8
1967,Des,1967-12-15,TNS Gallup AS,Sp,7.5
1967,Des,1967-12-15,TNS Gallup AS,V,11.9
1967,Feb,1967-02-15,TNS Gallup AS,Ap,53.3
1967,Feb,1967-02-15,TNS Gallup AS,H,19.6
1967,Feb,1967-02-15,TNS Gallup AS,KrF,6.0
1967,Feb,1967-02-15,TNS Gallup AS,NKP,0.5
1967,Feb,1967-02-15,TNS Gallup AS,SF,3.7
1967,Feb,1967-02-15,TNS Gallup AS,Sp,8.2
1967,Feb,1967-02-15,TNS Gallup AS,V,8.7
1967,Jan,1967-01-15,TNS Gallup AS,Ap,49.6
1967,Jan,1967-01-15,TNS Gallup AS,H,20.2
1967,Jan,1967-01-15,TNS Gallup AS,KrF,7.4
1967,Jan,1967-01-15,TNS Gallup AS,NKP,0.8
1967,Jan,1967-01-15,TNS Gallup AS,SF,3.7
1967,Jan,1967-01-15,TNS Gallup AS,Sp,7.6
1967,Jan,1967-01-15,TNS Gallup AS,V,10.8
1967,Jul,1967-07-15,TNS Gallup AS,Ap,52.1
1967,Jul,1967-07-15,TNS Gallup AS,H,18.9
1967,Jul,1967-07-15,TNS Gallup AS,KrF,7.2
1967,Jul,1967-07-15,TNS Gallup AS,NKP,0.1
1967,Jul,1967-07-15,TNS Gallup AS,SF,6.3
1967,Jul,1967-07-15,TNS Gallup AS,Sp,6.3
1967,Jul,1967-07-15,TNS Gallup AS,V,9.1
1967,Jun,1967-06-15,TNS Gallup AS,Ap,49.5
1967,Jun,1967-06-15,TNS Gallup AS,H,19.5
1967,Jun,1967-06-15,TNS Gallup AS,KrF,5.7
1967,Jun,1967-06-15,TNS Gallup AS,NKP,0.8
1967,Jun,1967-06-15,TNS Gallup AS,SF,5.1
1967,Jun,1967-06-15,TNS Gallup AS,Sp,9.4
1967,Jun,1967-06-15,TNS Gallup AS,V,10.0
1967,Mai,1967-05-15,TNS Gallup AS,Ap,53.4
1967,Mai,1967-05-15,TNS Gallup AS,H,17.6
1967,Mai,1967-05-15,TNS Gallup AS,KrF,5.5
1967,Mai,1967-05-15,TNS Gallup AS,NKP,0.2
1967,Mai,1967-05-15,TNS Gallup AS,SF,4.7
1967,Mai,1967-05-15,TNS Gallup AS,Sp,8.0
1967,Mai,1967-05-15,TNS Gallup AS,V,10.6
1967,Mar,1967-03-15,TNS Gallup AS,Ap,47.5
1967,Mar,1967-03-15,TNS Gallup AS,H,18.6
1967,Mar,1967-03-15,TNS Gallup AS,KrF,6.6
1967,Mar,1967-03-15,TNS Gallup AS,NKP,0.7
1967,Mar,1967-03-15,TNS Gallup AS,SF,8.9
1967,Mar,1967-03-15,TNS Gallup AS,Sp,7.9
1967,Mar,1967-03-15,TNS Gallup AS,V,9.7
1967,Nov,1967-11-15,TNS Gallup AS,Ap,50.0
1967,Nov,1967-11-15,TNS Gallup AS,H,17.0
1967,Nov,1967-11-15,TNS Gallup AS,KrF,6.9
1967,Nov,1967-11-15,TNS Gallup AS,NKP,1.0
1967,Nov,1967-11-15,TNS Gallup AS,SF,6.1
1967,Nov,1967-11-15,TNS Gallup AS,Sp,7.6
1967,Nov,1967-11-15,TNS Gallup AS,V,11.3
1967,Okt,1967-10-15,TNS Gallup AS,Ap,46.4
1967,Okt,1967-10-15,TNS Gallup AS,H,17.9
1967,Okt,1967-10-15,TNS Gallup AS,KrF,7.4
1967,Okt,1967-10-15,TNS Gallup AS,NKP,0.5
1967,Okt,1967-10-15,TNS Gallup AS,SF,7.4
1967,Okt,1967-10-15,TNS Gallup AS,Sp,8.1
1967,Okt,1967-10-15,TNS Gallup AS,V,12.3
1967,Sep,1967-09-15,TNS Gallup AS,Ap,48.4
1967,Sep,1967-09-15,TNS Gallup AS,H,18.0
1967,Sep,1967-09-15,TNS Gallup AS,KrF,7.2
1967,Sep,1967-09-15,TNS Gallup AS,NKP,0.5
1967,Sep,1967-09-15,TNS Gallup AS,SF,5.1
1967,Sep,1967-09-15,TNS Gallup AS,Sp,9.7
1967,Sep,1967-09-15,TNS Gallup AS,V,11.2
1969,Apr,1969-04-15,TNS Gallup AS,Ap,46.2
1969,Apr,1969-04-15,TNS Gallup AS,H,23.3
1969,Apr,1969-04-15,TNS Gallup AS,KrF,6.8
1969,Apr,1969-04-15,TNS Gallup AS,NKP,2.0
1969,Apr,1969-04-15,TNS Gallup AS,SF,4.4
1969,Apr,1969-04-15,TNS Gallup AS,Sp,7.9
1969,Apr,1969-04-15,TNS Gallup AS,V,9.4
1969,Aug,1969-08-15,TNS Gallup AS,Ap,53.8
1969,Aug,1969-08-15,TNS Gallup AS,H,16.4
1969,Aug,1969-08-15,TNS Gallup AS,KrF,9.0
1969,Aug,1969-08-15,TNS Gallup AS,NKP,0.6
1969,Aug,1969-08-15,TNS Gallup AS,SF,1.6
1969,Aug,1969-08-15,TNS Gallup AS,Sp,10.1
1969,Aug,1969-08-15,TNS Gallup AS,V,8.6
1969,Des,1969-12-15,TNS Gallup AS,Ap,52.9
1969,Des,1969-12-15,TNS Gallup AS,H,17.3
1969,Des,1969-12-15,TNS Gallup AS,KrF,8.8
1969,Des,1969-12-15,TNS Gallup AS,NKP,1.4
1969,Des,1969-12-15,TNS Gallup AS,SF,3.3
1969,Des,1969-12-15,TNS Gallup AS,Sp,9.7
1969,Des,1969-12-15,TNS Gallup AS,V,6.6
1969,Feb,1969-02-15,TNS Gallup AS,Ap,54.1
1969,Feb,1969-02-15,TNS Gallup AS,H,18.9
1969,Feb,1969-02-15,TNS Gallup AS,KrF,6.8
1969,Feb,1969-02-15,TNS Gallup AS,NKP,0.5
1969,Feb,1969-02-15,TNS Gallup AS,SF,2.1
1969,Feb,1969-02-15,TNS Gallup AS,Sp,8.8
1969,Feb,1969-02-15,TNS Gallup AS,V,8.7
1969,Jan,1969-01-15,TNS Gallup AS,Ap,50.9
1969,Jan,1969-01-15,TNS Gallup AS,H,15.7
1969,Jan,1969-01-15,TNS Gallup AS,KrF,9.0
1969,Jan,1969-01-15,TNS Gallup AS,NKP,1.6
1969,Jan,1969-01-15,TNS Gallup AS,SF,4.6
1969,Jan,1969-01-15,TNS Gallup AS,Sp,7.6
1969,Jan,1969-01-15,TNS Gallup AS,V,10.6
1969,Jul,1969-07-15,TNS Gallup AS,Ap,55.4
1969,Jul,1969-07-15,TNS Gallup AS,H,16.1
1969,Jul,1969-07-15,TNS Gallup AS,KrF,7.4
1969,Jul,1969-07-15,TNS Gallup AS,NKP,1.2
1969,Jul,1969-07-15,TNS Gallup AS,SF,2.1
1969,Jul,1969-07-15,TNS Gallup AS,Sp,10.4
1969,Jul,1969-07-15,TNS Gallup AS,V,7.3
1969,Jun,1969-06-15,TNS Gallup AS,Ap,49.2
1969,Jun,1969-06-15,TNS Gallup AS,H,18.1
1969,Jun,1969-06-15,TNS Gallup AS,KrF,8.9
1969,Jun,1969-06-15,TNS Gallup AS,NKP,1.3
1969,Jun,1969-06-15,TNS Gallup AS,SF,3.5
1969,Jun,1969-06-15,TNS Gallup AS,Sp,9.2
1969,Jun,1969-06-15,TNS Gallup AS,V,9.7
1969,Mai,1969-05-15,TNS Gallup AS,Ap,51.9
1969,Mai,1969-05-15,TNS Gallup AS,H,16.7
1969,Mai,1969-05-15,TNS Gallup AS,KrF,7.8
1969,Mai,1969-05-15,TNS Gallup AS,NKP,1.2
1969,Mai,1969-05-15,TNS Gallup AS,SF,2.5
1969,Mai,1969-05-15,TNS Gallup AS,Sp,7.9
1969,Mai,1969-05-15,TNS Gallup AS,V,12.0
1969,Mar,1969-03-15,TNS Gallup AS,Ap,49.5
1969,Mar,1969-03-15,TNS Gallup AS,H,18.7
1969,Mar,1969-03-15,TNS Gallup AS,KrF,8.3
1969,Mar,1969-03-15,TNS Gallup AS,NKP,1.0
1969,Mar,1969-03-15,TNS Gallup AS,SF,3.2
1969,Mar,1969-03-15,TNS Gallup AS,Sp,8.0
1969,Mar,1969-03-15,TNS Gallup AS,V,11.3
1969,Nov,1969-11-15,TNS Gallup AS,Ap,53.3
1969,Nov,1969-11-15,TNS Gallup AS,H,17.5
1969,Nov,1969-11-15,TNS Gallup AS,KrF,8.0
1969,Nov,1969-11-15,TNS Gallup AS,NKP,0.6
1969,Nov,1969-11-15,TNS Gallup AS,SF,3.6
1969,Nov,1969-11-15,TNS Gallup AS,Sp,9.6
1969,Nov,1969-11-15,TNS Gallup AS,V,7.4
1969,Okt,1969-10-15,TNS Gallup AS,Ap,55.9
1969,Okt,1969-10-15,TNS Gallup AS,H,16.3
1969,Okt,1969-10-15,TNS Gallup AS,KrF,8.8
1969,Okt,1969-10-15,TNS Gallup AS,NKP,0.7
1969,Okt,1969-10-15,TNS Gallup AS,SF,1.7
1969,Okt,1969-10-15,TNS Gallup AS,Sp,10.0
1969,Okt,1969-10-15,TNS Gallup AS,V,6.6
1970,Apr,1970-04-15,TNS Gallup AS,Ap,53.9
1970,Apr,1970-04-15,TNS Gallup AS,H,17.4
1970,Apr,1970-04-15,TNS Gallup AS,KrF,9.6
1970,Apr,1970-04-15,TNS Gallup AS,NKP,0.8
1970,Apr,1970-04-15,TNS Gallup AS,SF,2.3
1970,Apr,1970-04-15,TNS Gallup AS,Sp,8.9
1970,Apr,1970-04-15,TNS Gallup AS,V,6.9
1970,Aug,1970-08-15,TNS Gallup AS,Ap,57.3
1970,Aug,1970-08-15,TNS Gallup AS,H,17.3
1970,Aug,1970-08-15,TNS Gallup AS,KrF,1.1
1970,Aug,1970-08-15,TNS Gallup AS,NKP,0.4
1970,Aug,1970-08-15,TNS Gallup AS,SF,6.8
1970,Aug,1970-08-15,TNS Gallup AS,Sp,8.3
1970,Aug,1970-08-15,TNS Gallup AS,V,8.8
1970,Des,1970-12-15,TNS Gallup AS,Ap,58.7
1970,Des,1970-12-15,TNS Gallup AS,H,16.2
1970,Des,1970-12-15,TNS Gallup AS,KrF,8.2
1970,Des,1970-12-15,TNS Gallup AS,NKP,0.6
1970,Des,1970-12-15,TNS Gallup AS,SF,2.4
1970,Des,1970-12-15,TNS Gallup AS,Sp,8.1
1970,Des,1970-12-15,TNS Gallup AS,V,5.8
1970,Feb,1970-02-15,TNS Gallup AS,Ap,54.7
1970,Feb,1970-02-15,TNS Gallup AS,H,21.3
1970,Feb,1970-02-15,TNS Gallup AS,KrF,6.4
1970,Feb,1970-02-15,TNS Gallup AS,NKP,1.1
1970,Feb,1970-02-15,TNS Gallup AS,SF,2.5
1970,Feb,1970-02-15,TNS Gallup AS,Sp,7.0
1970,Feb,1970-02-15,TNS Gallup AS,V,7.1
1970,Jan,1970-01-15,TNS Gallup AS,Ap,59.5
1970,Jan,1970-01-15,TNS Gallup AS,H,14.8
1970,Jan,1970-01-15,TNS Gallup AS,KrF,8.8
1970,Jan,1970-01-15,TNS Gallup AS,NKP,0.9
1970,Jan,1970-01-15,TNS Gallup AS,SF,2.1
1970,Jan,1970-01-15,TNS Gallup AS,Sp,8.0
1970,Jan,1970-01-15,TNS Gallup AS,V,5.8
1970,Jul,1970-07-15,TNS Gallup AS,Ap,53.0
1970,Jul,1970-07-15,TNS Gallup AS,H,18.6
1970,Jul,1970-07-15,TNS Gallup AS,KrF,7.0
1970,Jul,1970-07-15,TNS Gallup AS,NKP,0.8
1970,Jul,1970-07-15,TNS Gallup AS,SF,2.9
1970,Jul,1970-07-15,TNS Gallup AS,Sp,8.7
1970,Jul,1970-07-15,TNS Gallup AS,V,8.9
1970,Jun,1970-06-15,TNS Gallup AS,Ap,54.4
1970,Jun,1970-06-15,TNS Gallup AS,H,17.9
1970,Jun,1970-06-15,TNS Gallup AS,KrF,8.3
1970,Jun,1970-06-15,TNS Gallup AS,NKP,1.0
1970,Jun,1970-06-15,TNS Gallup AS,SF,1.7
1970,Jun,1970-06-15,TNS Gallup AS,Sp,9.5
1970,Jun,1970-06-15,TNS Gallup AS,V,7.1
1970,Mai,1970-05-15,TNS Gallup AS,Ap,59.0
1970,Mai,1970-05-15,TNS Gallup AS,H,16.2
1970,Mai,1970-05-15,TNS Gallup AS,KrF,7.9
1970,Mai,1970-05-15,TNS Gallup AS,NKP,0.8
1970,Mai,1970-05-15,TNS Gallup AS,SF,1.9
1970,Mai,1970-05-15,TNS Gallup AS,Sp,7.5
